title,released,genres,description,link
Kandisha,2020,horror film,"female mythological figure in northern Moroccan folklore/harmful action in response to a grievance/Islamic healing from demon and jinn intrusion/systematic killing of men, boys, or males in general/social relations between the genders (or sexes); cfr. class relations",http://www.wikidata.org/entity/Q105081798
Karel,2020,documentary film,Czech singer and actor,http://www.wikidata.org/entity/Q101405992
Karen,2020,biographical film,Danish writer,http://www.wikidata.org/entity/Q110844279
Kemarin,2020,docudrama,"Indonesian musical group; pop rock band/tsunami in coastal regions of Banten and Lampung, Indonesia",http://www.wikidata.org/entity/Q103880409
Khaali Peeli,2020,action film/romance film,engaging in sexual relations in exchange for payment,http://www.wikidata.org/entity/Q77889909
Kingdom of Silence,2020,documentary film,2018 murder of Saudi citizen Jamal Khashoggi on Turkish soil,http://www.wikidata.org/entity/Q115834639
Kiss Me Kosher,2020,comedy film/LGBT-related film,"intimate relationship between persons of different nationality, ethnicity or culture",http://www.wikidata.org/entity/Q98397037
Kupała,2020,drama film/biographical film/historical film,Belarusian writer (1882–1942),http://www.wikidata.org/entity/Q66426263
La Dolce Vita,2020,comedy film/drama film,"media technologies that are intended to reach a large audience by mass communication/perceived decay in standards, morals, dignity, religious faith, or skill at governing/psychological feature arousing organisms to physical pleasure and reproduction/type of disappointment/entertainment occurring at night/moment when individuals question whether their lives have meaning, purpose, or value, and are negatively impacted by the contemplation/culture of city",http://www.wikidata.org/entity/Q18407
Ladies of Steel,2020,drama film/comedy film,"social union or legal contract between people called spouses that creates kinship/consists of ages nearing or surpassing the life expectancy of human beings/relationship between siblings/process by which a young adult tries to define their life goals, their place in society, and their own world view/course of life of a person/social relations between the genders (or sexes); cfr. class relations",http://www.wikidata.org/entity/Q65245405
Laxmii,2020,comedy horror/LGBT-related film,"lesbian, gay, bisexual, and transgender persons/individual whose gender identity is not defined as male or female/third gender of South Asian cultures",http://www.wikidata.org/entity/Q63349731
"Leonie, actrice en spionne",2020,documentary film,German-Dutch actress and double agent (1901-1978),http://www.wikidata.org/entity/Q81942692
Liam Gallagher: As It Was,2020,documentary film,British singer,http://www.wikidata.org/entity/Q87398417
Libelu: Down With The Dictatorship,2020,documentary film,,http://www.wikidata.org/entity/Q105527943
Life in a Year,2020,drama film/romance film,cell type cancer that has material basis in abnormally proliferating cells derives from epithelial cells,http://www.wikidata.org/entity/Q96387452
Lindenberg! Mach Dein Ding,2020,drama film/biographical film/musical film,German rock musician and composer,http://www.wikidata.org/entity/Q80212412
Little Girl,2020,documentary film,sociological term describing human age from birth to adolescence/children and adolescents who are transgender,http://www.wikidata.org/entity/Q84810567
Lootcase,2020,romantic comedy,physical or virtual object or record accepted as payment,http://www.wikidata.org/entity/Q77892513
"Lotte Eisner, aucun lieu, nulle part",2020,documentary film,German film historian (1896-1983),http://www.wikidata.org/entity/Q105812801
Loving Neverland,2020,documentary film,"American singer, songwriter, and dancer (1958–2009)/personal home of Michael Jackson",http://www.wikidata.org/entity/Q111456915
MLK/FBI,2020,documentary film,American Baptist minister and civil rights leader (1929–1968),http://www.wikidata.org/entity/Q101245195
Ma Rainey's Black Bottom: A Legacy Brought to Screen,2020,documentary film,2020 film by George C. Wolfe,http://www.wikidata.org/entity/Q104609259
Making The Witcher,2020,behind-the-scenes,2019 fantasy drama television series,http://www.wikidata.org/entity/Q98688182
Mama Weed,2020,comedy film/crime film/police film,crime involving illicit drugs/transition of identity and self-confidence,http://www.wikidata.org/entity/Q79246949
Mank,2020,drama film,American screenwriter (1897-1953),http://www.wikidata.org/entity/Q73093591
Martin Eden,2020,drama film/adventure film/film based on a novel,"person who uses written words to communicate ideas and to produce literary works (superclass: author [Q482980])/social class composed of members of the society employed in lower tier jobs/societal relation between the classes as part of social reality/upward movement of people or groups between social strata in society/intimate relationship between persons of different nationality, ethnicity or culture",http://www.wikidata.org/entity/Q65939784
Master Cheng,2020,drama film/comedy film,"geographic area that is located outside towns and cities/social unit of human organisms who share common values/optimistic attitude of mind based on an expectation of positive outcomes/pattern of human activity and symbolism associated with China and its people/social and emotional relationship between a parent and their child/process of the restoration of health/process of development of a close, interpersonal relationship/pattern of human activity and symbolism associated with Finland and its people/process of interaction between members of different cultures/intimate relationship between persons of different nationality, ethnicity or culture/society shaped by a rural environment and the relevant economic activities",http://www.wikidata.org/entity/Q66309630
